id,title,author,source,date,subjects,topic,type,href
c718,A Guide To Contemporary Country Groups,Mick Houghton,Let It Rock,September 1973,"['asleep-at-the-wheel', 'charlatans-the-us', 'commander-cody', 'country-gazette', 'dillard-and-clark', 'dillards-the', 'dan-hicks-and-his-hot-licks', 'new-riders-of-the-purple-sage']",country,Report,/Library/SearchLinkRedirect?folder=a-guide-to-contemporary-country-groups
c719,Rick Nelson: Has it Really Been 2 Years Since Garden Party?,Arthur Levy,Zoo World,11 October 1973,['rick-nelson'],country,Profile and Interview,/Library/SearchLinkRedirect?folder=rick-nelson-has-it-really-been-2-years-since-garden-party
c800,The Nudie Look,Chris Charlesworth,Melody Maker,27 October 1973,[],country,Profile and Interview,/Library/SearchLinkRedirect?folder=the-nudie-look
c801,"Tanya Tucker: Delta Dawn, What's Your Mama's Name (Columbia)",Ken Barnes,Phonograph Record,November 1973,['tanya-tucker'],country,Review,/Library/SearchLinkRedirect?folder=tanya-tucker-idelta-dawni-iwhats-your-mamas-namei-columbia
c802,Conway Twitty & Loretta Lynn: Louisiana Woman – Mississippi Man; Merle Haggard: I Love Dixie Blues...,John Morthland,Creem,November 1973,"['merle-haggard', 'loretta-lynn', 'conway-twitty']",country,Review,/Library/SearchLinkRedirect?folder=conway-twitty--loretta-lynn-louisiana-woman--mississippi-man-merle-haggard-i-love-dixie-blues-
c803,Linda Ronstadt: Don't Cry Now (Asylum),Michael Watts,Melody Maker,10 November 1973,['linda-ronstadt'],country,Review,/Library/SearchLinkRedirect?folder=linda-ronstadt-idont-cry-nowi-asylum
c804,Chet Atkins: Country Gent,Chris Charlesworth,Melody Maker,24 November 1973,['chet-atkins'],country,Interview,/Library/SearchLinkRedirect?folder=chet-atkins-country-gent
c805,Tanya Tucker: Jail Bait on Parade,Gary Kenton,Creem,January 1974,['tanya-tucker'],country,Report,/Library/SearchLinkRedirect?folder=tanya-tucker-jail-bait-on-parade
c806,Buck Owens Bringing Nashville North by Way of West Coast,Ian Dove,The New York Times,11 January 1974,['buck-owens'],country,Interview,/Library/SearchLinkRedirect?folder=buck-owens-bringing-nashville-north-by-way-of-west-coast
c807,"Charlie Rich, Tom T. Hall, Bill Monroe: Felt Forum, New York NY",Ian Dove,The New York Times,11 February 1974,"['tom-t-hall', 'bill-monroe', 'charlie-rich']",country,Live Review,/Library/SearchLinkRedirect?folder=charlie-rich-tom-t-hall-bill-monroe-felt-forum-new-york-ny
c808,"Gram Parsons: Grievous Angel (Warner Bros. MS 2171, Import)",Jerry Gilbert,Sounds,16 February 1974,"['emmylou-harris', 'gram-parsons']",country,Review,/Library/SearchLinkRedirect?folder=gram-parsons-igrievous-angeli-warner-bros-ms-2171-import
c809,Gram Parsons: Grievous Angel (Reprise import),Chrissie Hynde,New Musical Express,23 February 1974,['gram-parsons'],country,Review,/Library/SearchLinkRedirect?folder=gram-parsons-igrievous-angeli-reprise-import
c810,"The Dillards: Bottom Line, New York NY",John Swenson,The Village Voice,7 March 1974,['dillards-the'],country,Live Review,/Library/SearchLinkRedirect?folder=the-dillards-bottom-line-new-york-ny
c811,Charlie Rich: Behind Closed Doors (CBS KE32247),Jerry Gilbert,Sounds,16 March 1974,['charlie-rich'],country,Review,/Library/SearchLinkRedirect?folder=charlie-rich-ibehind-closed-doorsi-cbs-ke32247
c812,"Rick Nelson & the Stone Canyon Band: Bottom Line, New York NY",Chris Charlesworth,Melody Maker,13 April 1974,['rick-nelson'],country,Live Review,/Library/SearchLinkRedirect?folder=rick-nelson--the-stone-canyon-band-bottom-line-new-york-ny
c813,Tanya Tucker: Would You Lay With Me In A Field Of Stone? (Columbia KC 32744),Toby Mamis,Zoo World,25 April 1974,['tanya-tucker'],country,Review,/Library/SearchLinkRedirect?folder=tanya-tucker-iwould-you-lay-with-me-in-a-field-of-stonei-columbia-kc-32744
c814,Tanya Tucker: Would You Lay with Me (In a Field of Stone) (Columbia KC 32744),Ken Barnes,Rolling Stone,25 April 1974,['tanya-tucker'],country,Review,/Library/SearchLinkRedirect?folder=tanya-tucker-iwould-you-lay-with-me-in-a-field-of-stonei-columbia-kc-32744-2
c815,"Gram Parsons: Grievous Angel (Reprise MS 2171); Chip Taylor: Last Chance (Warner Bros, BS 2718)",Phil Hardy,Let It Rock,May 1974,"['gram-parsons', 'chip-taylor']",country,Review,/Library/SearchLinkRedirect?folder=gram-parsons-igrievous-angeli-reprise-ms-2171-chip-taylor-ilast-chancei-warner-bros-bs-2718
c816,Ross: Ross (RSO); Deke Leonard: Kamikaze (UA); Michael Nesmith: Pretty Much Your Standard Ranch Stash (RCA),Simon Frith,Let It Rock,May 1974,"['michael-nesmith', 'ross', 'deke-leonard']",country,Review,/Library/SearchLinkRedirect?folder=ross-irossi-rso-deke-leonard-ikamikazei-ua-michael-nesmith-ipretty-much-your-standard-ranch-stashi-rca
c817,Waylon Jennings: Honky Tonk Heroes (RCA),Michael Watts,Melody Maker,4 May 1974,['waylon-jennings'],country,Review,/Library/SearchLinkRedirect?folder=waylon-jennings-ihonky-tonk-heroesi-rca
c818,Charlie Rich: Rich at Heart,Chris Charlesworth,Melody Maker,11 May 1974,['charlie-rich'],country,Report and Interview,/Library/SearchLinkRedirect?folder=charlie-rich-rich-at-heart
